sc_gid,mean_cf,mean_lcoe,mean_res,capacity,latitude,longitude,lcot,total_lcoe,lcoe,trans_cap_cost,CAPEX_M,FOM_M,CAPEX_A,FOM_A,CAPEX_C,FOM_C,,
1,0,9.9,0,568.191748,42.765,141.816,0,0,0,0,142768758,7000,0,0,0,0,3000-7000,
2,0,9.9,0,389.884943,42.657,141.655,0,0,0,0,115634925,7000,0,0,0,0,,
3,0,9.9,0,2882.260783,41.933,140.657,0,0,0,0,141031691,7000,0,0,0,0,,1000
4,0,9.9,0,4406.21476,41.903,140.608,0,0,0,0,163815560,7000,0,0,0,0,,
5,0,9.9,0,298.1649086,44.854,142.043,0,0,0,0,117576134,7000,0,0,0,0,,
6,0,9.9,0,66.25886857,43.8,143.603,0,0,0,0,157095256,7000,0,0,0,0,,
7,0,9.9,0,6526.498554,42.256,140.283,0,0,0,0,114745613,7000,0,0,0,0,,
8,0,9.9,0,3312.943428,43.432,141.886,0,0,0,0,111861135,7000,0,0,0,0,,
9,0,9.9,0,1492.3413,42.472,140.898,0,0,0,0,124682437,7000,0,0,0,0,,
10,0,9.9,0,695.815908,43.059,140.522,0,0,0,0,168762974,7000,0,0,0,0,,
11,0,9.9,0,145.11599,41.585,140.428,0,0,0,0,159090476,7000,0,0,0,0,,
12,0,9.9,0,1921.507188,42.657,141.655,0,0,0,0,161555085,7000,0,0,0,0,,
13,0,9.9,0,2197.94436,43.234,141.281,0,0,0,0,142956576,7000,0,0,0,0,,
14,0,9.9,0,4439.344194,42.657,141.655,0,0,0,0,136089760,7000,0,0,0,0,,
15,0,9.9,0,756.569502,42.631,141.547,0,0,0,0,124082735,7000,0,0,0,0,,
16,0,9.9,0,265.0354743,42.819,143.661,0,0,0,0,130618690,7000,0,0,0,0,,
17,0,9.9,0,6460.239685,42.567,142.535,0,0,0,0,149160622,7000,0,0,0,0,,
18,0,9.9,0,2981.649086,43.12,143.611,0,0,0,0,150371790,7000,0,0,0,0,,
19,0,9.9,0,331.2943428,42.476,142.576,0,0,0,0,142553254,7000,0,0,0,0,,
20,0,9.9,0,596.3298171,43.264,143.455,0,0,0,0,118256846,7000,0,0,0,0,,
21,0,9.9,0,1656.471714,43.766,142.353,0,0,0,0,130846346,7000,0,0,0,0,,
22,0,9.9,0,33.12943428,42.445,142.547,0,0,0,0,153143086,7000,0,0,0,0,,
23,0,9.9,0,2057.57235,43.437,143.148,0,0,0,0,141392986,7000,0,0,0,0,,
24,0,9.9,0,1225.789068,42.679,142.594,0,0,0,0,111220864,7000,0,0,0,0,,
25,0,9.9,0,4141.179285,43.241,143.548,0,0,0,0,139451143,7000,0,0,0,0,,
26,0,9.9,0,2033.61838,43.576,141.892,0,0,0,0,139264850,7000,0,0,0,0,,
27,0,9.9,0,342.70561,43.264,143.455,0,0,0,0,166091678,7000,0,0,0,0,,
28,0,9.9,0,3147.296257,42.468,142.632,0,0,0,0,135876759,7000,0,0,0,0,,
29,0,9.9,0,1601.51676,44.436,142.384,0,0,0,0,160543538,7000,0,0,0,0,,
30,0,9.9,0,1060.141897,43.378,143.257,0,0,0,0,128981814,7000,0,0,0,0,,
31,0,9.9,0,1409.46882,43.576,141.892,0,0,0,0,160457569,7000,0,0,0,0,,
32,0,9.9,0,13417.42088,43.12,141.534,0,0,0,0,117204463,7000,0,0,0,0,,
