*Hour,Imports
1,300
2,300
3,300
4,300
5,300
6,300
7,300
8,300
9,300
10,300
11,300
12,300
13,300
14,300
15,300
16,300
17,300
18,300
19,300
20,300
21,300
22,300
23,300
24,300
25,300
26,300
27,300
28,300
29,300
30,300
31,300
32,300
33,300
34,300
35,300
36,300
37,300
38,300
39,300
40,300
41,300
42,300
43,300
44,300
45,300
46,300
47,300
48,300
49,300
50,300
51,300
52,300
53,300
54,300
55,300
56,300
57,300
58,300
59,300
60,300
61,300
62,300
63,300
64,300
65,300
66,300
67,300
68,300
69,300
70,300
71,300
72,300
73,300
74,300
75,300
76,300
77,300
78,300
79,300
80,300
81,300
82,300
83,300
84,300
85,300
86,300
87,300
88,300
89,300
90,300
91,300
92,300
93,300
94,300
95,300
96,300
97,300
98,300
99,300
100,300
101,300
102,300
103,300
104,300
105,300
106,300
107,300
108,300
109,300
110,300
111,300
112,300
113,300
114,300
115,300
116,300
117,300
118,300
119,300
120,300
121,300
122,300
123,300
124,300
125,300
126,300
127,300
128,300
129,300
130,300
131,300
132,300
133,300
134,300
135,300
136,300
137,300
138,300
139,300
140,300
141,300
142,300
143,300
144,300
145,300
146,300
147,300
148,300
149,300
150,300
151,300
152,300
153,300
154,300
155,300
156,300
157,300
158,300
159,300
160,300
161,300
162,300
163,300
164,300
165,300
166,300
167,300
168,300
169,300
170,300
171,300
172,300
173,300
174,300
175,300
176,300
177,300
178,300
179,300
180,300
181,300
182,300
183,300
184,300
185,300
186,300
187,300
188,300
189,300
190,300
191,300
192,300
193,300
194,300
195,300
196,300
197,300
198,300
199,300
200,300
201,300
202,300
203,300
204,300
205,300
206,300
207,300
208,300
209,300
210,300
211,300
212,300
213,300
214,300
215,300
216,300
217,300
218,300
219,300
220,300
221,300
222,300
223,300
224,300
225,300
226,300
227,300
228,300
229,300
230,300
231,300
232,300
233,300
234,300
235,300
236,300
237,300
238,300
239,300
240,300
241,300
242,300
243,300
244,300
245,300
246,300
247,300
248,300
249,300
250,300
251,300
252,300
253,300
254,300
255,300
256,300
257,300
258,300
259,300
260,300
261,300
262,300
263,300
264,300
265,300
266,300
267,300
268,300
269,300
270,300
271,300
272,300
273,300
274,300
275,300
276,300
277,300
278,300
279,300
280,300
281,300
282,300
283,300
284,300
285,300
286,300
287,300
288,300
289,300
290,300
291,300
292,300
293,300
294,300
295,300
296,300
297,300
298,300
299,300
300,300
301,300
302,300
303,300
304,300
305,300
306,300
307,300
308,300
309,300
310,300
311,300
312,300
313,300
314,300
315,300
316,300
317,300
318,300
319,300
320,300
321,300
322,300
323,300
324,300
325,300
326,300
327,300
328,300
329,300
330,300
331,300
332,300
333,300
334,300
335,300
336,300
337,300
338,300
339,300
340,300
341,300
342,300
343,300
344,300
345,300
346,300
347,300
348,300
349,300
350,300
351,300
352,300
353,300
354,300
355,300
356,300
357,300
358,300
359,300
360,300
361,300
362,300
363,300
364,300
365,300
366,300
367,300
368,300
369,300
370,300
371,300
372,300
373,300
374,300
375,300
376,300
377,300
378,300
379,300
380,300
381,300
382,300
383,300
384,300
385,300
386,300
387,300
388,300
389,300
390,300
391,300
392,300
393,300
394,300
395,300
396,300
397,300
398,300
399,300
400,300
401,300
402,300
403,300
404,300
405,300
406,300
407,300
408,300
409,300
410,300
411,300
412,300
413,300
414,300
415,300
416,300
417,300
418,300
419,300
420,300
421,300
422,300
423,300
424,300
425,300
426,300
427,300
428,300
429,300
430,300
431,300
432,300
433,300
434,300
435,300
436,300
437,300
438,300
439,300
440,300
441,300
442,300
443,300
444,300
445,300
446,300
447,300
448,300
449,300
450,300
451,300
452,300
453,300
454,300
455,300
456,300
457,300
458,300
459,300
460,300
461,300
462,300
463,300
464,300
465,300
466,300
467,300
468,300
469,300
470,300
471,300
472,300
473,300
474,300
475,300
476,300
477,300
478,300
479,300
480,300
481,300
482,300
483,300
484,300
485,300
486,300
487,300
488,300
489,300
490,300
491,300
492,300
493,300
494,300
495,300
496,300
497,300
498,300
499,300
500,300
501,300
502,300
503,300
504,300
505,300
506,300
507,300
508,300
509,300
510,300
511,300
512,300
513,300
514,300
515,300
516,300
517,300
518,300
519,300
520,300
521,300
522,300
523,300
524,300
525,300
526,300
527,300
528,300
529,300
530,300
531,300
532,300
533,300
534,300
535,300
536,300
537,300
538,300
539,300
540,300
541,300
542,300
543,300
544,300
545,300
546,300
547,300
548,300
549,300
550,300
551,300
552,300
553,300
554,300
555,300
556,300
557,300
558,300
559,300
560,300
561,300
562,300
563,300
564,300
565,300
566,300
567,300
568,300
569,300
570,300
571,300
572,300
573,300
574,300
575,300
576,300
577,300
578,300
579,300
580,300
581,300
582,300
583,300
584,300
585,300
586,300
587,300
588,300
589,300
590,300
591,300
592,300
593,300
594,300
595,300
596,300
597,300
598,300
599,300
600,300
601,300
602,300
603,300
604,300
605,300
606,300
607,300
608,300
609,300
610,300
611,300
612,300
613,300
614,300
615,300
616,300
617,300
618,300
619,300
620,300
621,300
622,300
623,300
624,300
625,300
626,300
627,300
628,300
629,300
630,300
631,300
632,300
633,300
634,300
635,300
636,300
637,300
638,300
639,300
640,300
641,300
642,300
643,300
644,300
645,300
646,300
647,300
648,300
649,300
650,300
651,300
652,300
653,300
654,300
655,300
656,300
657,300
658,300
659,300
660,300
661,300
