*Hour,Load
1,2918
2,3009
3,3122
4,3219
5,3281
6,3199
7,3146
8,3105
9,3248
10,3353
11,3330
12,3354
13,3180
14,3111
15,3052
16,3004
17,3090
18,3226
19,3382
20,3347
21,3213
22,3061
23,2963
24,2990
25,2923
26,3018
27,3115
28,3214
29,3261
30,3200
31,3071
32,2915
33,2984
34,3107
35,3082
36,3027
37,2879
38,2675
39,2511
40,2506
41,2678
42,2927
43,3218
44,3240
45,3156
46,3017
47,2847
48,2869
49,2835
50,2990
51,3142
52,3233
53,3297
54,3272
55,3274
56,3220
57,3331
58,3481
59,3509
60,3474
61,3248
62,3233
63,3095
64,3013
65,3155
66,3239
67,3423
68,3357
69,3232
70,3091
71,2927
72,2937
73,2903
74,3019
75,3125
76,3218
77,3277
78,3259
79,3264
80,3214
81,3432
82,3602
83,3538
84,3475
85,3172
86,3286
87,3195
88,3176
89,3234
90,3292
91,3418
92,3351
93,3213
94,3040
95,2879
96,2859
97,2840
98,2950
99,3050
100,3162
101,3194
102,3195
103,3241
104,3085
105,3322
106,3431
107,3483
108,3469
109,3227
110,3240
111,3122
112,3042
113,3136
114,3209
115,3362
116,3273
117,3122
118,2972
119,2833
120,2867
121,2802
122,2835
123,2949
124,3071
125,3133
126,3121
127,3163
128,3098
129,3320
130,3479
131,3474
132,3550
133,3324
134,3403
135,3439
136,3455
137,3489
138,3471
139,3519
140,3426
141,3257
142,3064
143,2918
144,2929
145,2838
146,2900
147,2980
148,3077
149,3155
150,3137
151,3214
152,3224
153,3531
154,3732
155,3703
156,3703
157,3542
158,3613
159,3616
160,3543
161,3514
162,3477
163,3508
164,3428
165,3223
166,3058
167,2935
168,2959
169,2851
170,2868
171,3003
172,3116
173,3185
174,3148
175,3123
176,2997
177,3079
178,3132
179,3117
180,3079
181,3016
182,3043
183,2924
184,2915
185,3002
186,3119
187,3242
188,3205
189,3071
190,2915
191,2840
192,2873
193,2820
194,2878
195,2992
196,3089
197,3127
198,3080
199,3088
200,2926
201,2923
202,2924
203,2923
204,2935
205,2969
206,2887
207,2765
208,2750
209,2868
210,3081
211,3327
212,3306
213,3203
214,3035
215,2916
216,2931
217,2853
218,2943
219,3087
220,3175
221,3237
222,3175
223,3249
224,3304
225,3466
226,3575
227,3587
228,3488
229,3259
230,3275
231,3194
232,3088
233,3124
234,3214
235,3375
236,3338
237,3161
238,2985
239,2862
240,2841
241,2742
242,2815
243,2954
244,3056
245,3117
246,3086
247,3146
248,3239
249,3422
250,3478
251,3417
252,3390
253,3248
254,3374
255,3357
256,3288
257,3272
258,3273
259,3353
260,3287
261,3116
262,2930
263,2779
264,2819
265,2771
266,2773
267,2880
268,3014
269,3062
270,3110
271,3224
272,3177
273,3301
274,3298
275,3464
276,3313
277,3056
278,3195
279,3142
280,3081
281,3135
282,3210
283,3368
284,3327
285,3163
286,2994
287,2825
288,2850
289,2793
290,2841
291,2987
292,3088
293,3114
294,3147
295,3304
296,3249
297,3523
298,3688
299,3627
300,3653
301,3351
302,3388
303,3299
304,3235
305,3264
306,3277
307,3420
308,3373
309,3210
310,3017
311,2864
312,2884
313,2810
314,2879
315,2998
316,3120
317,3156
318,3104
319,3213
320,3229
321,3450
322,3588
323,3603
324,3678
325,3472
326,3494
327,3433
328,3358
329,3297
330,3262
331,3389
332,3367
333,3207
334,3059
335,2947
336,2969
337,2884
338,2944
339,3048
340,3122
341,3161
342,3082
343,3027
344,2958
345,3082
346,3288
347,3227
348,3147
349,3013
350,2947
351,2889
352,2862
353,2879
354,2975
355,3167
356,3164
357,3051
358,2895
359,2810
360,2795
361,2795
362,2903
363,2980
364,3087
365,3117
366,3085
367,3055
368,2983
369,3136
370,3207
371,3175
372,3208
373,3194
374,3117
375,3052
376,2989
377,3038
378,3172
379,3315
380,3311
381,3199
382,3048
383,2921
384,2930
385,2892
386,2985
387,3093
388,3209
389,3254
390,3270
391,3336
392,3292
393,3576
394,3845
395,3844
396,3762
397,3519
398,3634
399,3591
400,3557
401,3566
402,3593
403,3657
404,3608
405,3434
406,3213
407,3052
408,3037
409,2972
410,3048
411,3158
412,3274
413,3304
414,3235
415,3230
416,3201
417,3400
418,3578
419,3590
420,3572
421,3400
422,3394
423,3247
424,3115
425,3198
426,3236
427,3381
428,3365
429,3203
430,3012
431,2821
432,2833
433,2749
434,2833
435,2936
436,3048
437,3126
438,3131
439,3165
440,3113
441,3391
442,3604
443,3605
444,3459
445,3307
446,3380
447,3327
448,3254
449,3254
450,3289
451,3420
452,3389
453,3227
454,3043
455,2841
456,2854
457,2783
458,2858
459,2977
460,3103
461,3152
462,3055
463,3091
464,3083
465,3370
466,3732
467,3752
468,3699
469,3394
470,3546
471,3447
472,3417
473,3404
474,3358
475,3458
476,3394
477,3218
478,3028
479,2872
480,2870
481,2782
482,2822
483,2988
484,3094
485,3143
486,3137
487,3212
488,3199
489,3375
490,3550
491,3553
492,3556
493,3379
494,3435
495,3299
496,3216
497,3235
498,3239
499,3374
500,3382
501,3201
502,3047
503,2894
504,2889
505,2808
506,2891
507,2986
508,3107
509,3126
510,3070
511,3040
512,3045
513,3228
514,3305
515,3251
516,3195
517,3065
518,3063
519,2988
520,2929
521,2956
522,3036
523,3185
524,3228
525,3105
526,2954
527,2851
528,2883
529,2796
530,2888
531,2996
532,3088
533,3088
534,3007
535,2947
536,2819
537,2978
538,3145
539,2992
540,2996
541,2977
542,2856
543,2767
544,2726
545,2773
546,2927
547,3168
548,3200
549,3094
550,2937
551,2789
552,2783
553,2709
554,2802
555,2918
556,3037
557,3073
558,3068
559,3092
560,3186
561,3508
562,3714
563,3681
564,3570
565,3371
566,3363
567,3327
568,3236
569,3223
570,3225
571,3365
572,3393
573,3237
574,3075
575,2895
576,2888
577,2775
578,2807
579,2958
580,3057
581,3065
582,3074
583,3155
584,3164
585,3377
586,3573
587,3562
588,3507
589,3265
590,3288
591,3155
592,3054
593,3097
594,3107
595,3262
596,3252
597,3085
598,2901
599,2764
600,2742
601,2606
602,2667
603,2789
604,2909
605,2970
606,3042
607,3095
608,3123
609,3412
610,3612
611,3626
612,3601
613,3404
614,3528
615,3495
616,3414
617,3413
618,3354
619,3401
620,3350
621,3177
622,2999
623,2806
624,2773
625,2673
626,2746
627,2858
628,2971
629,3005
630,2991
631,3037
632,3060
633,3320
634,3531
635,3532
636,3481
637,3267
638,3260
639,3148
640,3025
641,3071
642,3083
643,3254
644,3322
645,3155
646,2954
647,2812
648,2807
649,2712
650,2737
651,2887
652,2982
653,3020
654,2990
655,3108
656,3179
657,3347
