*Hour,LargeHydro
1,582
2,570
3,599
4,650
5,687
6,720
7,729
8,636
9,587
10,549
11,524
12,511
13,477
14,502
15,527
16,569
17,653
18,753
19,805
20,804
21,718
22,674
23,608
24,577
25,536
26,549
27,548
28,584
29,660
30,719
31,703
32,598
33,574
34,548
35,492
36,466
37,452
38,456
39,485
40,546
41,615
42,679
43,745
44,746
45,671
46,629
47,585
48,568
49,547
50,543
51,563
52,597
53,645
54,702
55,697
56,610
57,556
58,522
59,482
60,434
61,401
62,405
63,459
64,511
65,603
66,685
67,751
68,760
69,702
70,659
71,588
72,567
73,542
74,546
75,570
76,611
77,686
78,733
79,701
80,638
81,573
82,509
83,491
84,449
85,434
86,442
87,486
88,541
89,639
90,711
91,785
92,793
93,731
94,720
95,645
96,641
97,642
98,666
99,672
100,702
101,723
102,763
103,752
104,646
105,568
106,539
107,519
108,518
109,500
110,525
111,566
112,634
113,677
114,763
115,812
116,831
117,833
118,831
119,834
120,802
121,784
122,776
123,784
124,788
125,803
126,816
127,759
128,731
129,665
130,588
131,583
132,589
133,553
134,579
135,634
136,737
137,782
138,809
139,837
140,854
141,857
142,854
143,837
144,838
145,788
146,791
147,817
148,821
149,836
150,847
151,885
152,866
153,862
154,869
155,888
156,882
157,863
158,898
159,947
160,935
161,921
162,920
163,909
164,891
165,881
166,870
167,853
168,864
169,867
170,871
171,870
172,878
173,869
174,869
175,874
176,866
177,853
178,844
179,866
180,873
181,850
182,865
183,887
184,889
185,886
186,892
187,898
188,902
189,889
190,876
191,877
192,876
193,853
194,879
195,886
196,901
197,897
198,898
199,880
200,865
201,844
202,849
203,852
204,856
205,829
206,832
207,855
208,862
209,876
210,905
211,925
212,892
213,871
214,871
215,832
216,835
217,815
218,842
219,865
220,880
221,866
222,850
223,846
224,839
225,858
226,848
227,842
228,817
229,779
230,814
231,817
232,835
233,838
234,892
235,905
236,896
237,866
238,836
239,817
240,795
241,802
242,859
243,849
244,868
245,875
246,892
247,857
248,840
249,811
250,794
251,788
252,783
253,774
254,818
255,839
256,899
257,919
258,925
259,936
260,924
261,909
262,910
263,888
264,883
265,857
266,860
267,864
268,882
269,884
270,904
271,911
272,906
273,900
274,932
275,914
276,896
277,883
278,900
279,927
280,938
281,965
282,975
283,962
284,965
285,935
286,932
287,925
288,930
289,929
290,931
291,963
292,966
293,956
294,935
295,921
296,907
297,885
298,899
299,910
300,920
301,891
302,911
303,938
304,958
305,951
306,961
307,965
308,956
309,945
310,946
311,947
312,923
313,924
314,937
315,982
316,989
317,978
318,978
319,933
320,912
321,893
322,868
323,875
324,881
325,865
326,889
327,928
328,932
329,943
330,982
331,977
332,965
333,963
334,956
335,944
336,938
337,913
338,933
339,962
340,980
341,979
342,961
343,916
344,918
345,894
346,902
347,903
348,894
349,868
350,886
351,895
352,907
353,932
354,953
355,967
356,961
357,950
358,936
359,897
360,898
361,921
362,931
363,943
364,940
365,941
366,936
367,926
368,926
369,928
370,907
371,899
372,904
373,901
374,923
375,934
376,960
377,975
378,981
379,1003
380,988
381,972
382,962
383,933
384,950
385,955
386,972
387,979
388,992
389,999
390,1006
391,979
392,970
393,963
394,949
395,917
396,923
397,918
398,926
399,926
400,934
401,967
402,1005
403,1003
404,968
405,971
406,928
407,910
408,906
409,915
410,937
411,948
412,953
413,955
414,957
415,939
416,937
417,930
418,915
419,896
420,848
421,822
422,854
423,897
424,920
425,933
426,952
427,962
428,965
429,967
430,929
431,896
432,884
433,860
434,889
435,913
436,938
437,946
438,946
439,915
440,906
441,891
442,882
443,851
444,833
445,808
446,812
447,843
448,872
449,906
450,938
451,940
452,912
453,898
454,855
455,815
456,815
457,807
458,808
459,839
460,895
461,897
462,894
463,854
464,812
465,809
466,788
467,791
468,774
469,752
470,754
471,812
472,830
473,861
474,873
475,878
476,863
477,856
478,825
479,811
480,799
481,776
482,780
483,852
484,906
485,905
486,903
487,848
488,810
489,800
490,717
491,702
492,705
493,702
494,714
495,757
496,768
497,815
498,854
499,864
500,872
501,842
502,848
503,802
504,784
505,773
506,833
507,872
508,873
509,890
510,885
511,829
512,775
513,734
514,773
515,701
516,688
517,683
518,694
519,715
520,822
521,857
522,916
523,910
524,903
525,893
526,849
527,795
528,765
529,768
530,839
531,850
532,869
533,865
534,847
535,813
536,744
537,724
538,751
539,712
540,675
541,669
542,681
543,699
544,809
545,841
546,869
547,903
548,897
549,862
550,815
551,738
552,733
553,734
554,789
555,798
556,832
557,839
558,821
559,740
560,671
561,646
562,696
563,679
564,624
565,614
566,636
567,671
568,713
569,834
570,882
571,908
572,907
573,890
574,806
575,769
576,772
577,767
578,790
579,798
580,824
581,853
582,852
583,819
584,749
585,742
586,712
587,689
588,650
589,641
590,672
591,720
592,753
593,823
594,894
595,928
596,933
597,905
598,855
599,804
600,803
601,794
602,803
603,809
604,807
605,845
606,788
607,788
608,783
609,801
610,845
611,865
612,880
613,802
614,815
615,819
616,855
617,936
618,950
619,911
620,886
621,863
622,840
623,848
624,854
625,893
626,882
627,903
628,909
629,906
630,887
631,881
632,846
633,834
634,836
635,856
636,784
637,740
638,789
639,805
640,814
641,828
642,838
643,848
644,843
645,827
646,819
647,817
648,802
649,791
650,798
651,806
652,805
653,825
654,811
655,814
656,813
657,818
658,804
659,788
660,748
661,733
662,781
663,791
664,833
665,857
666,880
667,917
668,921
669,868
670,855
671,830
672,806
673,805
674,860
675,874
676,884
677,876
678,863
679,840
680,832
681,818
682,812
683,766
684,750
685,766
686,818
687,841
688,844
689,855
690,882
691,885
692,890
693,879
