*Hour,OtherRenewables
1,289
2,289
3,289
4,289
5,289
6,288
7,287
8,287
9,289
10,286
11,286
12,293
13,294
14,296
15,294
16,294
17,293
18,294
19,289
20,280
21,280
22,280
23,279
24,280
25,281
26,280
27,280
28,281
29,280
30,280
31,279
32,278
33,280
34,278
35,279
36,275
37,269
38,262
39,262
40,262
41,270
42,278
43,277
44,278
45,278
46,278
47,278
48,277
49,278
50,278
51,279
52,280
53,279
54,278
55,278
56,277
57,280
58,285
59,291
60,294
61,297
62,298
63,294
64,292
65,291
66,292
67,291
68,292
69,293
70,293
71,292
72,292
73,292
74,293
75,293
76,293
77,293
78,292
79,291
80,291
81,290
82,288
83,287
84,286
85,286
86,285
87,286
88,286
89,287
90,287
91,289
92,289
93,288
94,288
95,288
96,287
97,288
98,287
99,289
100,286
101,277
102,278
103,275
104,278
105,288
106,286
107,287
108,287
109,289
110,287
111,287
112,288
113,286
114,288
115,288
116,289
117,291
118,290
119,289
120,289
121,289
122,289
123,291
124,290
125,290
126,288
127,288
128,287
129,288
130,289
131,288
132,287
133,288
134,287
135,288
136,285
137,285
138,288
139,286
140,287
141,288
142,289
143,288
144,287
145,288
146,288
147,289
148,288
149,288
150,288
151,287
152,286
153,288
154,286
155,284
156,286
157,288
158,287
159,288
160,286
161,286
162,287
163,288
164,289
165,288
166,288
167,288
168,287
169,289
170,289
171,289
172,289
173,290
174,288
175,288
176,287
177,288
178,287
179,285
180,285
181,284
182,282
183,281
184,283
185,282
186,283
187,283
188,283
189,285
190,284
191,284
192,283
193,285
194,285
195,285
196,283
197,283
198,283
199,282
200,281
201,282
202,282
203,281
204,281
205,281
206,281
207,281
208,280
209,280
210,282
211,284
212,283
213,285
214,284
215,283
216,284
217,284
218,285
219,284
220,284
221,284
222,283
223,281
224,280
225,279
226,280
227,282
228,281
229,282
230,281
231,281
232,279
233,279
234,283
235,282
236,282
237,283
238,284
239,283
240,283
241,276
242,278
243,280
244,282
245,283
246,284
247,283
248,283
249,282
250,281
251,280
252,280
253,282
254,280
255,281
256,281
257,280
258,280
259,280
260,281
261,283
262,284
263,284
264,284
265,284
266,284
267,283
268,284
269,283
270,284
271,283
272,282
273,281
274,282
275,283
276,282
277,282
278,283
279,283
280,283
281,283
282,286
283,285
284,285
285,286
286,285
287,284
288,284
289,286
290,286
291,287
292,286
293,286
294,287
295,287
296,286
297,288
298,287
299,286
300,286
301,287
302,286
303,287
304,287
305,287
306,289
307,289
308,290
309,289
310,289
311,290
312,289
313,289
314,289
315,288
316,289
317,289
318,288
319,288
320,287
321,289
322,288
323,287
324,288
325,288
326,288
327,289
328,288
329,287
330,289
331,289
332,289
333,290
334,290
335,291
336,289
337,290
338,289
339,290
340,290
341,290
342,289
343,289
344,288
345,289
346,289
347,293
348,293
349,294
350,294
351,294
352,293
353,292
354,294
355,292
356,286
357,286
358,286
359,286
360,286
361,287
362,287
363,285
364,287
365,287
366,286
367,285
368,285
369,286
370,285
371,285
372,285
373,285
374,285
375,284
376,285
377,284
378,286
379,285
380,284
381,286
382,286
383,285
384,286
385,286
386,285
387,286
388,286
389,285
390,286
391,285
392,284
393,285
394,284
395,285
396,284
397,284
398,285
399,284
400,285
401,284
402,285
403,284
404,286
405,286
406,286
407,286
408,285
409,285
410,286
411,285
412,286
413,286
414,285
415,284
416,284
417,285
418,285
419,284
420,283
421,285
422,285
423,284
424,285
425,284
426,285
427,284
428,286
429,286
430,286
431,286
432,285
433,286
434,286
435,286
436,285
437,286
438,285
439,284
440,282
441,285
442,284
443,284
444,284
445,285
446,284
447,283
448,283
449,282
450,284
451,285
452,285
453,286
454,285
455,285
456,285
457,285
458,286
459,285
460,285
461,286
462,284
463,284
464,284
465,285
466,284
467,283
468,283
469,284
470,283
471,285
472,284
473,284
474,284
475,283
476,284
477,284
478,285
479,284
480,285
481,284
482,284
483,285
484,285
485,285
486,284
487,284
488,283
489,284
490,284
491,283
492,283
493,284
494,284
495,284
496,283
497,283
498,284
499,284
500,284
501,285
502,285
503,284
504,285
505,288
506,290
507,291
508,291
509,292
510,291
511,291
512,290
513,291
514,291
515,291
516,291
517,291
518,291
519,291
520,291
521,296
522,300
523,300
524,301
525,301
526,301
527,301
528,300
529,301
530,301
531,301
532,301
533,301
534,301
535,300
536,299
537,301
538,300
539,300
540,300
541,300
542,300
543,300
544,299
545,300
546,301
547,300
548,300
549,301
550,299
551,301
552,301
553,301
554,301
555,301
556,301
557,301
558,300
559,299
560,299
561,300
562,299
563,298
564,299
565,300
566,299
567,300
568,299
569,298
570,300
571,300
572,300
