sc_gid,mean_cf,mean_lcoe,mean_res,capacity,latitude,longitude,lcot,total_lcoe,lcoe,trans_cap_cost,CAPEX_M,FOM_M,CAPEX_A,FOM_A,CAPEX_C,FOM_C,,
1,0,13.8,0,30.0299598,42.765,141.816,0,0,0,0,214606352,9000,0,0,0,0,7000-9000,
2,0,13.8,0,26.6478235,42.657,141.655,0,0,0,0,225612438,9000,0,0,0,0,,
3,0,13.8,0,93.2944142,41.933,140.657,0,0,0,0,264516986,9000,0,0,0,0,,1000
4,0,13.8,0,31.1424357,41.903,140.608,0,0,0,0,233874251,9000,0,0,0,0,,
5,0,13.8,0,152.2404711,44.854,142.043,0,0,0,0,240137843,9000,0,0,0,0,,
6,0,13.8,0,162.1220186,43.8,143.603,0,0,0,0,241097390,9000,0,0,0,0,,
7,0,13.8,0,122.2857961,42.256,140.283,0,0,0,0,245909027,9000,0,0,0,0,,
8,0,13.8,0,38.576413,43.432,141.886,0,0,0,0,224014296,9000,0,0,0,0,,
9,0,13.8,0,133.0418359,42.472,140.898,0,0,0,0,243065196,9000,0,0,0,0,,
10,0,13.8,0,127.2408563,43.059,140.522,0,0,0,0,237165856,9000,0,0,0,0,,
11,0,13.8,0,74.2583237,41.585,140.428,0,0,0,0,259980380,9000,0,0,0,0,,
12,0,13.8,0,77.7894888,42.657,141.655,0,0,0,0,226699245,9000,0,0,0,0,,
13,0,13.8,0,112.8783666,43.234,141.281,0,0,0,0,234287719,9000,0,0,0,0,,
14,0,13.8,0,129.4068131,42.657,141.655,0,0,0,0,258234618,9000,0,0,0,0,,
15,0,13.8,0,33.8427384,42.631,141.547,0,0,0,0,242565544,9000,0,0,0,0,,
16,0,13.8,0,81.9438006,42.819,143.661,0,0,0,0,252717150,9000,0,0,0,0,,
17,0,13.8,0,62.7316494,42.567,142.535,0,0,0,0,233574238,9000,0,0,0,0,,
18,0,13.8,0,69.7954653,43.12,143.611,0,0,0,0,250654901,9000,0,0,0,0,,
19,0,13.8,0,38.754477,42.476,142.576,0,0,0,0,263946247,9000,0,0,0,0,,
20,0,13.8,0,51.0742062,43.264,143.455,0,0,0,0,241368368,9000,0,0,0,0,,
21,0,13.8,0,22.6677013,43.766,142.353,0,0,0,0,232058927,9000,0,0,0,0,,
22,0,13.8,0,70.8175776,42.445,142.547,0,0,0,0,260176884,9000,0,0,0,0,,
23,0,13.8,0,99.1841946,43.437,143.148,0,0,0,0,229374041,9000,0,0,0,0,,
24,0,13.8,0,149.5401684,42.679,142.594,0,0,0,0,228314058,9000,0,0,0,0,,
25,0,13.8,0,264.396456,43.241,143.548,0,0,0,0,216550736,9000,0,0,0,0,,
26,0,13.8,0,276.859392,43.576,141.892,0,0,0,0,252489782,9000,0,0,0,0,,
27,0,13.8,0,518.250399,43.264,143.455,0,0,0,0,224690666,9000,0,0,0,0,,
28,0,13.8,0,663.801882,42.468,142.632,0,0,0,0,212458155,9000,0,0,0,0,,
29,0,13.8,0,138.130868,44.436,142.384,0,0,0,0,240404462,9000,0,0,0,0,,
30,0,13.8,0,120.771559,43.378,143.257,0,0,0,0,228226078,9000,0,0,0,0,,
31,0,13.8,0,716.919928,43.576,141.892,0,0,0,0,226415069,9000,0,0,0,0,,
32,0,13.8,0,788.431237,43.12,141.534,0,0,0,0,211403355,9000,0,0,0,0,,
33,0,13.8,0,332.195917,42.32,140.968,0,0,0,0,254187957,9000,0,0,0,0,,
34,0,13.8,0,275.078752,43.078,144.154,0,0,0,0,244502341,9000,0,0,0,0,,
35,0,13.8,0,244.065819,42.986,143.145,0,0,0,0,224495926,9000,0,0,0,0,,
36,0,13.8,0,278.941171,43.137,141.289,0,0,0,0,251735669,9000,0,0,0,0,,
37,0,13.8,0,255.490177,43.576,141.892,0,0,0,0,234952688,9000,0,0,0,0,,
38,0,13.8,0,716.769358,43.832,144.216,0,0,0,0,218064851,9000,0,0,0,0,,
39,0,13.8,0,812.777944,44.854,142.043,0,0,0,0,217001066,9000,0,0,0,0,,
40,0,13.8,0,159.941005,41.933,140.657,0,0,0,0,236171538,9000,0,0,0,0,,
41,0,13.8,0,288.041605,41.809,140.741,0,0,0,0,231377381,9000,0,0,0,0,,
42,0,13.8,0,896.292774,43.8,143.603,0,0,0,0,230696603,9000,0,0,0,0,,
43,0,13.8,0,686.500028,41.933,140.657,0,0,0,0,248822416,9000,0,0,0,0,,
44,0,13.8,0,669.88278,42.472,140.898,0,0,0,0,256824023,9000,0,0,0,0,,
45,0,13.8,0,199.406967,43.12,141.534,0,0,0,0,211400225,9000,0,0,0,0,,
46,0,13.8,0,374.038633,44.436,142.384,0,0,0,0,253655762,9000,0,0,0,0,,
47,0,13.8,0,251.043971,42.922,143.034,0,0,0,0,265202928,9000,0,0,0,0,,
48,0,13.8,0,577.464753,43.416,144.814,0,0,0,0,217782781,9000,0,0,0,0,,
49,0,13.8,0,875.389138,41.903,140.608,0,0,0,0,255227295,9000,0,0,0,0,,
50,0,13.8,0,666.231468,42.782,143.701,0,0,0,0,261537561,9000,0,0,0,0,,
52,0,13.8,0,298.966045,41.903,140.608,0,0,0,0,244515321,9000,0,0,0,0,,
53,0,13.8,0,594.217159,43.048,141.347,0,0,0,0,227526629,9000,0,0,0,0,,
54,0,13.8,0,162.3193,44.854,142.043,0,0,0,0,255373070,9000,0,0,0,0,,
55,0,13.8,0,729.081724,44.436,142.384,0,0,0,0,216481009,9000,0,0,0,0,,
56,0,13.8,0,673.149084,43.766,142.353,0,0,0,0,229988696,9000,0,0,0,0,,
57,0,13.8,0,223.745969,42.631,141.547,0,0,0,0,226540824,9000,0,0,0,0,,
58,0,13.8,0,296.888889,42.449,139.852,0,0,0,0,257347801,9000,0,0,0,0,,
59,0,13.8,0,254.602168,43.027,141.419,0,0,0,0,233799519,9000,0,0,0,0,,
61,0,13.8,0,400.208024,43.137,141.289,0,0,0,0,217731188,9000,0,0,0,0,,
62,0,13.8,0,50.668703,43.011,144.447,0,0,0,0,248378183,9000,0,0,0,0,,
63,0,13.8,0,60.944032,43.205,140.958,0,0,0,0,220080190,9000,0,0,0,0,,
64,0,13.8,0,631.605966,42.472,140.898,0,0,0,0,245229531,9000,0,0,0,0,,
65,0,13.8,0,707.422156,41.71,140.43,0,0,0,0,231870415,9000,0,0,0,0,,
66,0,13.8,0,397.037918,43.205,140.958,0,0,0,0,260462056,9000,0,0,0,0,,
67,0,13.8,0,318.107534,42.934,141.601,0,0,0,0,228786467,9000,0,0,0,0,,
68,0,13.8,0,580.902427,43.416,144.814,0,0,0,0,254566470,9000,0,0,0,0,,
71,0,13.8,0,872.706621,43.806,142.323,0,0,0,0,214485132,9000,0,0,0,0,,
73,0,13.8,0,586.360245,42.32,140.968,0,0,0,0,236220070,9000,0,0,0,0,,
74,0,13.8,0,599.26102,42.765,141.816,0,0,0,0,246607737,9000,0,0,0,0,,
75,0,13.8,0,328.206044,42.423,140.991,0,0,0,0,264146972,9000,0,0,0,0,,
77,0,13.8,0,315.733862,43.09,144.154,0,0,0,0,264603731,9000,0,0,0,0,,
78,0,13.8,0,145.549942,42.423,140.991,0,0,0,0,227185121,9000,0,0,0,0,,
79,0,13.8,0,267.658137,43.163,142.904,0,0,0,0,223047301,9000,0,0,0,0,,
80,0,13.8,0,530.709537,43.241,143.548,0,0,0,0,254893166,9000,0,0,0,0,,
