*Hour,LargeHydro
1,456.22
2,467.4
3,476.35
4,590.4
5,646.31
6,621.71
7,615
8,527.78
9,415.96
10,369
11,360.05
12,349.99
13,337.69
14,337.69
15,352.23
16,399.19
17,490.88
18,640.72
19,693.27
20,638.48
21,537.85
22,471.87
23,441.68
24,428.26
25,422.67
26,438.33
27,492
28,630.65
29,679.85
30,655.25
31,532.25
32,448.39
33,355.58
34,333.22
35,329.86
36,349.99
37,328.75
38,336.57
39,335.45
40,345.52
41,417.08
42,471.87
43,506.54
44,507.65
45,474.11
46,427.15
47,385.77
48,372.35
49,376.83
50,408.14
51,446.15
52,512.13
53,553.5
54,555.74
55,505.42
56,409.25
57,344.4
58,296.32
59,289.61
60,279.55
61,273.95
62,272.84
63,288.49
64,307.5
65,389.13
66,497.59
67,598.23
68,615
69,536.73
70,476.35
71,455.1
72,445.04
73,433.85
74,474.11
75,516.6
76,657.49
77,710.05
78,722.35
79,658.61
80,523.31
81,447.27
82,402.55
83,362.29
84,367.88
85,366.76
86,375.71
87,420.44
88,486.41
89,550.15
90,668.67
91,696.63
92,648.55
93,611.65
94,557.97
95,522.19
96,518.84
97,497.59
98,492
99,493.12
100,555.74
101,720.11
102,746.95
103,686.56
104,572.51
105,478.58
106,445.04
107,398.07
108,390.25
109,365.65
110,375.71
111,415.96
112,427.15
113,481.94
114,612.76
115,676.5
116,658.61
117,636.25
118,610.53
119,584.81
120,570.27
121,526.66
122,525.55
123,556.85
124,626.18
125,735.76
126,748.06
127,666.44
128,561.33
129,534.49
130,493.12
131,464.05
132,437.21
133,426.03
134,451.75
135,512.13
136,576.98
137,646.31
138,722.35
139,746.95
140,717.87
141,678.74
142,661.96
143,659.73
144,651.9
145,615
146,631.77
147,648.55
148,684.33
149,797.26
150,781.61
151,727.94
152,632.89
153,561.33
154,526.66
155,487.53
156,459.57
157,447.27
158,468.52
159,509.89
160,546.79
161,613.88
162,677.62
163,732.41
164,699.98
165,655.25
166,647.43
167,645.19
168,604.94
169,561.33
170,592.64
171,609.41
172,723.46
173,778.25
174,749.18
175,688.8
176,580.34
177,528.9
178,486.41
179,467.4
180,436.09
181,412.61
182,460.69
183,524.43
184,615
185,695.51
186,742.47
187,715.64
188,644.07
189,606.05
190,593.75
191,565.8
192,545.67
193,569.15
194,565.8
195,573.63
196,715.64
197,730.17
198,715.64
199,656.37
200,571.39
201,512.13
202,488.65
203,475.23
204,492
205,452.86
206,460.69
207,496.47
208,557.97
209,631.77
210,678.74
211,691.04
212,658.61
213,641.84
214,647.43
215,606.05
216,613.88
217,581.45
218,592.64
219,622.83
220,723.46
221,759.25
222,787.2
223,717.87
224,615
225,587.05
226,553.5
227,540.08
228,521.07
229,514.36
230,542.32
231,581.45
232,607.17
233,655.25
234,738
235,782.73
236,771.55
237,722.35
238,695.51
239,696.63
240,676.5
241,644.07
242,648.55
243,729.05
244,812.92
245,831.93
246,824.1
247,816.27
248,767.07
249,660.85
250,673.15
251,646.31
252,617.24
253,609.41
254,638.48
255,679.85
256,745.83
257,848.7
258,913.55
259,923.62
260,868.83
261,868.83
262,871.06
263,859.88
264,846.46
265,893.43
266,916.91
267,931.45
268,948.22
269,954.93
270,952.69
271,919.15
272,877.77
273,841.99
274,828.57
275,830.81
276,818.51
277,810.68
278,826.34
279,848.7
280,881.13
281,897.9
282,893.43
283,913.55
284,931.45
285,934.8
286,929.21
287,901.25
288,892.31
289,880.01
290,886.72
291,901.25
292,940.39
293,954.93
294,959.4
295,919.15
296,900.14
297,891.19
298,899.02
299,911.32
300,920.26
301,864.35
302,900.14
303,903.49
304,934.8
305,945.98
306,966.11
307,1010.84
308,1004.13
309,992.95
310,991.83
311,996.3
312,954.93
313,940.39
314,958.28
315,986.24
316,1013.07
317,1029.85
318,1022.02
319,1017.55
320,990.71
321,949.34
322,933.68
323,906.85
324,901.25
325,904.61
326,916.91
327,937.04
328,928.09
329,923.62
330,949.34
331,997.42
332,1015.31
333,1004.13
334,972.82
335,967.23
336,939.27
337,925.85
338,924.74
339,940.39
340,962.75
341,986.24
342,997.42
343,992.95
344,943.75
345,890.07
346,880.01
347,881.13
348,862.12
349,828.57
350,841.99
351,844.23
352,841.99
353,867.71
354,915.79
355,939.27
356,919.15
357,892.31
358,857.65
359,852.05
360,819.63
361,822.98
362,828.57
363,872.18
364,923.62
365,931.45
366,922.5
367,899.02
368,867.71
369,857.65
370,840.87
371,820.75
372,806.21
373,695.51
374,686.56
375,679.85
376,703.34
377,788.32
378,829.69
379,852.05
380,849.82
381,827.45
382,814.04
383,809.56
384,760.36
385,779.37
386,791.67
387,835.28
388,864.35
389,869.95
390,848.7
391,843.11
392,767.07
393,748.06
394,712.28
395,611.65
396,597.11
397,604.94
398,654.14
399,691.04
400,704.45
401,797.26
402,849.82
403,864.35
404,838.64
405,803.97
406,805.09
407,796.15
408,750.3
409,758.13
410,776.02
411,818.51
412,855.41
413,862.12
414,853.17
415,845.35
416,836.4
417,694.39
418,678.74
419,647.43
420,638.48
421,625.06
422,660.85
423,672.03
424,682.09
425,765.95
426,815.15
427,838.64
428,849.82
429,834.16
430,826.34
431,767.07
432,752.54
433,745.83
434,755.89
435,757.01
436,800.62
437,801.74
438,789.44
439,772.66
440,767.07
441,720.11
442,712.28
443,651.9
444,659.73
445,608.29
446,634.01
447,667.55
448,658.61
449,768.19
450,807.33
451,820.75
452,818.51
453,809.56
454,808.45
455,810.68
456,753.65
457,748.06
458,752.54
459,740.24
460,762.6
461,772.66
462,748.06
463,783.85
464,748.06
465,722.35
466,702.22
467,664.2
468,660.85
469,620.59
470,625.06
471,654.14
472,668.67
473,755.89
474,798.38
475,826.34
476,835.28
477,839.75
478,825.22
479,812.92
480,769.31
481,732.41
482,760.36
483,759.25
484,789.44
485,778.25
486,770.43
487,746.95
488,736.88
489,675.38
490,660.85
491,625.06
492,608.29
493,615
494,645.19
495,648.55
496,670.91
497,745.83
498,829.69
499,859.88
500,878.89
501,880.01
502,875.54
503,874.42
504,793.91
505,770.43
506,793.91
507,846.46
508,884.48
509,883.36
510,880.01
511,864.35
512,800.62
513,722.35
514,723.46
515,721.23
516,739.12
517,729.05
518,772.66
519,790.55
520,826.34
521,877.77
522,925.85
523,950.45
524,957.16
525,951.57
526,906.85
527,893.43
528,885.6
529,864.35
530,904.61
531,929.21
532,964.99
533,972.82
534,968.35
535,934.8
536,918.03
537,872.18
538,847.58
539,856.53
540,865.47
541,849.82
542,871.06
543,906.85
544,915.79
545,938.15
546,992.95
547,1019.78
548,1019.78
549,1013.07
550,979.53
551,961.64
552,941.51
553,924.74
554,947.1
555,961.64
556,984
557,989.59
558,985.12
559,957.16
560,956.05
561,878.89
562,865.47
563,861
564,871.06
565,843.11
566,852.05
567,865.47
568,886.72
569,924.74
570,961.64
571,997.42
572,997.42
573,973.94
574,966.11
575,962.75
576,931.45
577,900.14
578,923.62
579,931.45
580,942.63
581,943.75
582,942.63
583,938.15
584,948.22
585,914.67
586,880.01
587,827.45
588,821.86
589,826.34
590,861
591,890.07
592,891.19
593,926.97
594,961.64
595,991.83
596,1010.84
597,1013.07
598,960.52
599,940.39
600,925.85
601,894.55
602,901.25
603,919.15
604,948.22
605,947.1
606,948.22
607,924.74
608,920.26
609,874.42
610,838.64
611,853.17
612,875.54
613,861
614,891.19
615,926.97
616,952.69
617,947.1
618,970.58
619,981.76
620,995.18
621,1009.72
622,967.23
623,933.68
624,907.96
625,891.19
626,903.49
627,931.45
628,971.7
629,976.17
630,979.53
631,924.74
632,918.03
633,896.78
634,877.77
635,858.76
636,881.13
637,887.84
638,926.97
639,941.51
640,964.99
641,996.3
642,1004.13
643,1009.72
644,1026.49
645,1036.55
646,991.83
647,962.75
648,926.97
649,912.44
650,923.62
651,950.45
652,967.23
653,977.29
654,990.71
655,992.95
656,940.39
657,865.47
658,840.87
659,839.75
660,866.59
661,845.35
662,857.65
663,885.6
664,920.26
665,970.58
666,972.82
667,992.95
668,1010.84
669,1018.66
670,994.06
671,980.65
672,928.09
673,943.75
674,970.58
675,984
676,999.65
677,999.65
678,975.05
679,933.68
680,903.49
681,892.31
682,862.12
683,844.23
684,830.81
685,819.63
686,818.51
687,837.52
688,855.41
689,896.78
690,957.16
691,957.16
692,953.81
693,945.98
694,941.51
695,905.73
696,885.6
697,878.89
698,884.48
699,903.49
700,914.67
701,910.2
702,890.07
703,892.31
704,881.13
705,853.17
706,843.11
707,820.75
