Scenario,Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),All Thermal Generation (MW),Hydro Generation (MW),Nuclear Generation (MW),Other Renewables Generation (MW),Imports (MW),Storage Charge/Discharge (MW),Exports (MW),Load (MW),Net Load (MW)
Data,1,0.0,0.0,674.1199577867933,0.0,1554.8800422132067,100.0,0.0,289.0,300.0,0,0.0,2918,1854.8800422132067
Data,2,0.0,0.0,714.740140119378,0.0,0.0,1105.2598618806373,0.0,289.0,300.0,-599.9999979999848,0.0,3009,899.9999979999847
Data,3,0.0,0.0,1038.5556624743206,0.0,78.74740069168985,815.6969388340049,0.0,289.0,300.0,-599.9999979999848,0.0,3122,978.7473986916746
Data,4,0.0,0.0,1056.3479067518072,0.0,0.0,973.6520952482081,0.0,289.0,300.0,-599.9999979999848,0.0,3219,899.9999979999848
Data,5,0.0,0.0,1169.3699126499828,0.0,1422.6300873500172,100.0,0.0,289.0,300.0,0,0.0,3281,1722.6300873500172
Data,6,0.0,0.0,1288.9502335243228,0.0,0.0,902.0497678756878,0.0,288.0,300.0,-419.99999859998934,0.0,3199,719.9999985999893
Data,7,1.170319693691091,0.0,1348.1216515532622,0.0,1109.7080287530468,100.0,0.0,287.0,300.0,0,0.0,3146,1409.7080287530468
Data,8,8.19077067694876,0.0,1301.981485752631,0.0,0.0,907.8277445704277,0.0,287.0,300.0,-299.9999989999924,0.0,3105,599.9999989999924
Data,9,17.336674810553898,0.0,1496.8185137068858,0.0,1044.84481148256,100.0,0.0,289.0,300.0,0,0.0,3248,1344.84481148256
Data,10,25.240856544542783,0.0,1812.9917510875755,0.0,0.0,628.7673933678896,0.0,286.0,300.0,-299.9999989999924,0.0,3353,599.9999989999924
Data,11,30.49482414559727,0.0,1803.6180940345023,0.0,0.0,609.8870828199081,0.0,286.0,300.0,-299.9999989999924,0.0,3330,599.9999989999924
Data,12,33.40815235926958,0.0,1402.8740902220998,0.0,0.0,1155.321334255575,0.0,293.0,300.0,-169.39642316305577,0.0,3354,469.3964231630557
Data,13,34.10066079481767,0.0,1283.8298980059662,0.0,1168.0694411992163,100.0,0.0,294.0,300.0,0,0.0,3180,1468.0694411992163
Data,14,31.83191317299027,0.0,1259.0130882728288,0.0,1124.1549985541808,100.0,0.0,296.0,300.0,0,0.0,3111,1424.1549985541808
Data,15,28.082782052289932,0.0,1382.078860250686,0.0,0.0,1047.838357697024,0.0,294.0,300.0,0,0.0,3052,300.0
Data,16,24.16639253825807,0.0,1628.9500591436924,0.0,0.0,756.8835483180494,0.0,294.0,300.0,0,0.0,3004,300.0
Data,17,15.784399546126181,0.0,2090.495737323637,0.0,0.0,390.7198631302367,0.0,293.0,300.0,0,0.0,3090,300.0
Data,18,6.805753805852578,0.0,1649.6579887652633,0.0,0.0,975.5362574288843,0.0,294.0,300.0,0,0.0,3226,300.0
Data,19,0.9551334566563728,0.0,1430.0093780404775,0.0,0.0,1362.0354885028662,0.0,289.0,300.0,0,0.0,3382,300.0
Data,20,0.0,0.0,1518.5345149301509,0.0,0.0,1248.465485069851,0.0,280.0,300.0,0,0.0,3347,299.9999999999982
Data,21,0.0,0.0,1401.9412189992654,0.0,0.0,1231.0587810007346,0.0,280.0,300.0,0,0.0,3213,300.0
Data,22,0.0,0.0,2015.1836232167248,0.0,365.81637678327513,100.0,0.0,280.0,300.0,0,0.0,3061,665.8163767832752
Data,23,0.0,0.0,2292.0036316738438,0.0,0.0,100.0,0.0,279.0,291.9963683261645,0,0.0,2963,291.99636832615624
Data,24,0.0,0.0,1614.5574662459935,0.0,695.4425337540065,100.0,0.0,280.0,300.0,0,0.0,2990,995.4425337540065
Data,25,0.0,0.0,1452.9551365300504,0.0,0.0,889.0448634699495,0.0,281.0,300.0,0,0.0,2923,300.0000000000001
Data,26,0.0,0.0,1369.353195103372,0.0,0.0,1068.646804896628,0.0,280.0,300.0,0,0.0,3018,300.0
Data,27,0.0,0.0,1189.87383685713,0.0,0.0,1345.12616314287,0.0,280.0,300.0,0,0.0,3115,300.0
Data,28,0.0,0.0,1313.797798952484,0.0,0.0,1319.202201047516,0.0,281.0,300.0,0,0.0,3214,300.0
Data,29,0.0,0.0,1576.9609706199872,0.0,0.0,1104.0390293800128,0.0,280.0,300.0,0,0.0,3261,300.0
Data,30,0.0,0.0,1449.6038227587899,0.0,0.0,1170.3961772412101,0.0,280.0,300.0,0,0.0,3200,300.0
Data,31,1.3370890273929972,0.0,1827.2863570964353,0.0,0.0,663.3765538761719,0.0,279.0,300.0,0,0.0,3071,299.99999999999966
Data,32,9.647679313599728,0.0,2061.289998995172,0.0,0.0,266.06232169122825,0.0,278.0,300.0,0,0.0,2915,299.9999999999999
Data,33,21.348430952362513,0.0,2013.044461387324,0.0,0.0,369.6071076603133,0.0,280.0,300.0,0,0.0,2984,300.00000000000034
Data,34,31.020074187813833,0.0,2073.9512837598213,0.0,0.0,724.0286410523572,0.0,278.0,300.0,299.9999989999924,0.0,3107,1.00000761449337e-06
Data,35,36.798802771455264,0.0,2393.8660777664113,0.0,0.0,100.0,0.0,279.0,272.33511946213383,0,0.0,3082,272.3351194621332
Data,36,39.091514315134255,0.0,2518.4869738094894,0.0,0.0,194.42151087536877,0.0,275.0,300.0,299.9999989999924,0.0,3027,1.00000761449337e-06
Data,37,39.78402275068235,0.0,2169.422667139138,0.0,0.0,400.79330911017223,0.0,269.0,300.0,299.9999989999924,0.0,2879,1.00000761449337e-06
Data,38,39.544872591795865,0.0,2273.4551264081965,0.0,0.0,100.0,0.0,262.0,1.00000761449337e-06,0,0.0,2675,1.00000761449337e-06
Data,39,36.488249906643794,0.0,1970.2517455310115,0.0,0.0,242.26000356233703,0.0,262.0,300.0,299.9999989999924,0.0,2511,1.00000761449337e-06
Data,40,30.757449166705552,0.0,2019.08865705426,0.0,0.0,194.15389277902682,0.0,262.0,300.0,299.9999989999924,0.0,2506,1.00000761449337e-06
Data,41,21.03836714718067,0.0,1830.3807091689043,0.0,0.0,256.580923683915,0.0,270.0,300.0,0,0.0,2678,300.0000000000002
Data,42,9.551823626193354,0.0,1704.375104510368,0.0,0.0,635.0730718634388,0.0,278.0,300.0,0,0.0,2927,300.0
Data,43,1.3136141651710278,0.0,2001.0562928871268,0.0,0.0,638.6300929477022,0.0,277.0,300.0,0,0.0,3218,299.9999999999998
Data,44,0.0,0.0,1821.7605505094089,0.0,0.0,840.2394494905911,0.0,278.0,300.0,0,0.0,3240,300.0
Data,45,0.0,0.0,1877.0873075773159,0.0,0.0,700.9126924226841,0.0,278.0,300.0,0,0.0,3156,300.0
Data,46,0.0,0.0,2021.9921450159109,0.0,0.0,417.00785498408914,0.0,278.0,300.0,0,0.0,3017,300.0
Data,47,0.0,0.0,2074.4211872601136,0.0,0.0,194.5788127398855,0.0,278.0,300.0,0,0.0,2847,300.0000000000009
Data,48,0.0,0.0,1972.1814779174679,0.0,0.0,319.8185220825321,0.0,277.0,300.0,0,0.0,2869,300.0
Data,49,0.0,0.0,2448.512891028215,0.0,0.0,100.0,0.0,278.0,8.487108971784892,0,0.0,2835,8.487108971784892
Data,50,0.0,0.0,2145.7553069336773,0.0,0.0,266.2446930663227,0.0,278.0,300.0,0,0.0,2990,300.0
Data,51,0.0,0.0,1850.6385213798526,0.0,0.0,712.3614786201474,0.0,279.0,300.0,0,0.0,3142,300.0
Data,52,0.0,0.0,1878.9867311740786,0.0,0.0,774.0132688259214,0.0,280.0,300.0,0,0.0,3233,300.0
Data,53,0.0,0.0,1925.88243699546,0.0,0.0,792.11756300454,0.0,279.0,300.0,0,0.0,3297,300.0
Data,54,0.0,0.0,2244.7480896318034,0.0,0.0,449.2519103681966,0.0,278.0,300.0,0,0.0,3272,300.0
Data,55,1.3850168710961843,0.0,1652.6506521693937,0.0,0.0,1041.96433095951,0.0,278.0,300.0,0,0.0,3274,300.0000000000002
Data,56,9.647679313599728,0.0,1963.7923098292129,0.0,0.0,669.5600108571874,0.0,277.0,300.0,0,0.0,3220,299.9999999999999
Data,57,21.37239487421411,0.0,2047.9724567205058,0.0,0.0,681.6551484052801,0.0,280.0,300.0,0,0.0,3331,300.0000000000001
Data,58,32.78704662964664,0.0,2051.6708892021475,0.0,0.0,1111.5420631681982,0.0,285.0,300.0,299.9999989999924,0.0,3481,1.00000761449337e-06
Data,59,42.67338704250306,0.0,2102.3102094907636,0.0,0.0,1073.0164024667256,0.0,291.0,300.0,299.9999989999924,0.0,3509,1.00000761449337e-06
Data,60,46.876365499494796,0.0,2187.1392154095283,0.0,0.0,945.9844180909695,0.0,294.0,300.0,299.9999989999924,0.0,3474,1.00000761449337e-06
Data,61,47.30624891393461,0.0,2232.0295725895703,0.0,0.0,671.6641774964874,0.0,297.0,300.0,299.9999989999924,0.0,3248,1.00000761449337e-06
Data,62,45.7539736495069,0.0,2170.6833412495334,0.0,0.0,718.5626841009521,0.0,298.0,300.0,299.9999989999924,0.0,3233,1.00000761449337e-06
Data,63,41.455628564738404,0.0,2197.053715832419,0.0,0.0,562.4906546028346,0.0,294.0,300.0,299.9999989999924,0.0,3095,1.00000761449337e-06
Data,64,33.50351898704633,0.0,2587.4964800129455,0.0,0.0,100.0,0.0,292.0,300.0,299.99999899999193,0.0,3013,1.000008069240721e-06
Data,65,21.611055973470794,0.0,2309.5959339238234,0.0,0.0,532.7930091026983,0.0,291.0,300.0,299.9999989999924,0.0,3155,1.00000761449337e-06
Data,66,9.743045941376478,0.0,2388.4652548270287,0.0,0.0,248.79169923159498,0.0,292.0,300.0,0,0.0,3239,300.0
Data,67,1.2656863214678409,0.0,2179.2439331172327,0.0,0.0,651.4903805612994,0.0,291.0,300.0,0,0.0,3423,300.0
Data,68,0.0,0.0,2206.158391674614,0.0,0.0,558.841608325386,0.0,292.0,300.0,0,0.0,3357,300.0
Data,69,0.0,0.0,2258.7824084152453,0.0,0.0,380.2175915847547,0.0,293.0,300.0,0,0.0,3232,300.0
Data,70,0.0,0.0,2085.706400165154,0.0,0.0,412.2935998348462,0.0,293.0,300.0,0,0.0,3091,300.0
Data,71,0.0,0.0,2046.3958599504874,0.0,0.0,288.6041400495126,0.0,292.0,300.0,0,0.0,2927,300.0
Data,72,0.0,0.0,2099.4608327233664,0.0,0.0,245.53916727663363,0.0,292.0,300.0,0,0.0,2937,300.0
Data,73,0.0,0.0,1761.56245934107,0.0,0.0,549.43754065893,0.0,292.0,300.0,0,0.0,2903,300.0
Data,74,0.0,0.0,1736.6244339983996,0.0,0.0,689.3755660016004,0.0,293.0,300.0,0,0.0,3019,300.0
Data,75,0.0,0.0,1769.6377699954328,0.0,249.82138115825563,512.5408488463117,0.0,293.0,300.0,0,0.0,3125,549.8213811582555
Data,76,0.0,0.0,1747.409595642488,0.0,0.0,877.5904043575119,0.0,293.0,300.0,0,0.0,3218,300.0
Data,77,0.0,0.0,1858.436209500779,0.0,725.5637904992211,100.0,0.0,293.0,300.0,0,0.0,3277,1025.563790499221
Data,78,0.0,0.0,2009.4796899185021,0.0,557.5203100814978,100.0,0.0,292.0,300.0,0,0.0,3259,857.5203100814979
Data,79,1.3850168710961843,0.0,1810.8322789318229,0.0,0.0,860.7827041970811,0.0,291.0,300.0,0,0.0,3264,300.0
Data,80,9.456456998416604,0.0,1701.403648369103,0.0,812.1398946324803,100.0,0.0,291.0,300.0,0,0.0,3214,1112.1398946324803
Data,81,20.489153183112514,0.0,1892.4945642530588,0.0,0.0,929.0162825638286,0.0,290.0,300.0,0,0.0,3432,300.0
