Hour,Technology,Charging power (MW),Discharging power (MW),State of charge (MWh)
1,Li-Ion,0.0,0.0,1106.3453311873006
1,CAES,0.0,0.0,3226.185878913073
1,PHS,0.0,-0.0,-0.0
1,H2,0.0,0.0,-0.0
2,Li-Ion,0.0,299.9999989999924,780.9496455439769
2,CAES,0.0,299.9999989999924,2900.790193269749
2,PHS,0.0,-0.0,-0.0
2,H2,0.0,-0.0,-0.0
3,Li-Ion,0.0,299.9999989999924,455.5539599006532
3,CAES,0.0,299.9999989999924,2575.3945076264254
3,PHS,0.0,-0.0,-0.0
3,H2,0.0,-0.0,-0.0
4,Li-Ion,0.0,299.9999989999924,130.15827425732948
4,CAES,0.0,299.9999989999924,2249.9988219831016
4,PHS,0.0,-0.0,-0.0
4,H2,0.0,-0.0,-0.0
5,Li-Ion,0.0,0.0,130.15827425732948
5,CAES,0.0,0.0,2249.9988219831016
5,PHS,0.0,0.0,-0.0
5,H2,0.0,0.0,-0.0
6,Li-Ion,0.0,119.99999959999695,-0.0
6,CAES,0.0,299.9999989999924,1924.6031363397778
6,PHS,0.0,-0.0,-0.0
6,H2,0.0,-0.0,-0.0
7,Li-Ion,0.0,0.0,-0.0
7,CAES,0.0,0.0,1924.6031363397778
7,PHS,0.0,0.0,-0.0
7,H2,0.0,0.0,-0.0
8,Li-Ion,0.0,0.0,0.0
8,CAES,0.0,299.9999989999924,1599.207450696454
8,PHS,0.0,-0.0,-0.0
8,H2,0.0,-0.0,-0.0
9,Li-Ion,0.0,0.0,-0.0
9,CAES,0.0,0.0,1599.207450696454
9,PHS,0.0,0.0,-0.0
9,H2,0.0,0.0,-0.0
10,Li-Ion,0.0,-0.0,0.0
10,CAES,0.0,299.9999989999924,1273.8117650531303
10,PHS,0.0,-0.0,-0.0
10,H2,0.0,-0.0,-0.0
11,Li-Ion,0.0,-0.0,0.0
11,CAES,0.0,299.9999989999924,948.4160794098065
11,PHS,0.0,-0.0,-0.0
11,H2,0.0,-0.0,-0.0
12,Li-Ion,0.0,-0.0,0.0
12,CAES,0.0,169.39642316305577,764.679861261784
12,PHS,0.0,-0.0,-0.0
12,H2,0.0,-0.0,-0.0
13,Li-Ion,0.0,0.0,-0.0
13,CAES,0.0,0.0,764.679861261784
13,PHS,0.0,-0.0,-0.0
13,H2,0.0,0.0,-0.0
14,Li-Ion,0.0,0.0,-0.0
14,CAES,0.0,0.0,764.679861261784
14,PHS,0.0,-0.0,-0.0
14,H2,0.0,0.0,-0.0
15,Li-Ion,0.0,-0.0,0.0
15,CAES,0.0,0.0,764.679861261784
15,PHS,0.0,-0.0,-0.0
15,H2,0.0,-0.0,-0.0
16,Li-Ion,0.0,-0.0,0.0
16,CAES,0.0,0.0,764.679861261784
16,PHS,0.0,-0.0,-0.0
16,H2,0.0,-0.0,-0.0
17,Li-Ion,0.0,-0.0,0.0
17,CAES,0.0,0.0,764.679861261784
17,PHS,0.0,-0.0,-0.0
17,H2,0.0,-0.0,-0.0
18,Li-Ion,0.0,-0.0,0.0
18,CAES,0.0,0.0,764.679861261784
18,PHS,0.0,-0.0,-0.0
18,H2,0.0,-0.0,-0.0
19,Li-Ion,0.0,-0.0,-0.0
19,CAES,0.0,0.0,764.679861261784
19,PHS,0.0,-0.0,-0.0
19,H2,0.0,-0.0,0.0
20,Li-Ion,0.0,0.0,0.0
20,CAES,0.0,0.0,764.679861261784
20,PHS,0.0,-0.0,-0.0
20,H2,0.0,-0.0,-0.0
21,Li-Ion,0.0,-0.0,0.0
21,CAES,0.0,0.0,764.679861261784
21,PHS,0.0,-0.0,-0.0
21,H2,0.0,0.0,-0.0
22,Li-Ion,0.0,0.0,-0.0
22,CAES,0.0,0.0,764.679861261784
22,PHS,0.0,0.0,-0.0
22,H2,0.0,0.0,-0.0
23,Li-Ion,0.0,0.0,-0.0
23,CAES,0.0,0.0,764.679861261784
23,PHS,0.0,0.0,0.0
23,H2,0.0,0.0,-0.0
24,Li-Ion,0.0,0.0,-0.0
24,CAES,0.0,0.0,764.679861261784
24,PHS,0.0,-0.0,0.0
24,H2,0.0,0.0,-0.0
25,Li-Ion,0.0,0.0,-0.0
25,CAES,0.0,0.0,764.679861261784
25,PHS,0.0,0.0,-0.0
25,H2,0.0,0.0,-0.0
26,Li-Ion,0.0,0.0,-0.0
26,CAES,0.0,0.0,764.679861261784
26,PHS,0.0,0.0,-0.0
26,H2,0.0,0.0,-0.0
27,Li-Ion,0.0,0.0,-0.0
27,CAES,0.0,0.0,764.679861261784
27,PHS,0.0,0.0,-0.0
27,H2,0.0,0.0,0.0
28,Li-Ion,0.0,0.0,-0.0
28,CAES,0.0,0.0,764.679861261784
28,PHS,0.0,0.0,-0.0
28,H2,0.0,0.0,-0.0
29,Li-Ion,0.0,0.0,-0.0
29,CAES,0.0,0.0,764.679861261784
29,PHS,0.0,0.0,-0.0
29,H2,0.0,0.0,-0.0
30,Li-Ion,0.0,0.0,-0.0
30,CAES,0.0,0.0,764.679861261784
30,PHS,0.0,0.0,-0.0
30,H2,0.0,0.0,-0.0
31,Li-Ion,0.0,0.0,-0.0
31,CAES,0.0,0.0,764.679861261784
31,PHS,0.0,0.0,-0.0
31,H2,0.0,0.0,-0.0
32,Li-Ion,0.0,0.0,-0.0
32,CAES,0.0,0.0,764.679861261784
32,PHS,0.0,0.0,-0.0
32,H2,0.0,0.0,-0.0
33,Li-Ion,0.0,0.0,-0.0
33,CAES,0.0,0.0,764.679861261784
33,PHS,0.0,0.0,-0.0
33,H2,0.0,0.0,-0.0
34,Li-Ion,-0.0,0.0,-0.0
34,CAES,299.9999989999924,0.0,1041.2661940586092
34,PHS,0.0,0.0,-0.0
34,H2,0.0,0.0,-0.0
35,Li-Ion,0.0,0.0,-0.0
35,CAES,0.0,0.0,1041.2661940586092
35,PHS,0.0,0.0,-0.0
35,H2,0.0,0.0,-0.0
36,Li-Ion,-0.0,0.0,-0.0
36,CAES,299.9999989999924,0.0,1317.8525268554345
36,PHS,0.0,0.0,-0.0
36,H2,0.0,0.0,-0.0
37,Li-Ion,-0.0,0.0,-0.0
37,CAES,299.9999989999924,0.0,1594.4388596522597
37,PHS,0.0,0.0,-0.0
37,H2,0.0,0.0,-0.0
38,Li-Ion,0.0,0.0,-0.0
38,CAES,0.0,0.0,1594.4388596522597
38,PHS,0.0,0.0,-0.0
38,H2,0.0,0.0,-0.0
39,Li-Ion,0.0,0.0,-0.0
39,CAES,299.9999989999924,0.0,1871.025192449085
39,PHS,0.0,0.0,-0.0
39,H2,0.0,0.0,-0.0
40,Li-Ion,0.0,0.0,-0.0
40,CAES,299.9999989999924,0.0,2147.61152524591
40,PHS,0.0,0.0,-0.0
40,H2,0.0,0.0,-0.0
41,Li-Ion,0.0,0.0,-0.0
41,CAES,0.0,0.0,2147.61152524591
41,PHS,0.0,0.0,-0.0
41,H2,0.0,0.0,-0.0
42,Li-Ion,0.0,0.0,-0.0
42,CAES,0.0,0.0,2147.61152524591
42,PHS,0.0,0.0,-0.0
42,H2,0.0,0.0,-0.0
43,Li-Ion,0.0,0.0,-0.0
43,CAES,0.0,0.0,2147.61152524591
43,PHS,0.0,0.0,-0.0
43,H2,0.0,0.0,-0.0
44,Li-Ion,0.0,0.0,-0.0
44,CAES,0.0,0.0,2147.61152524591
44,PHS,0.0,0.0,-0.0
44,H2,0.0,0.0,-0.0
45,Li-Ion,0.0,0.0,-0.0
45,CAES,0.0,0.0,2147.61152524591
45,PHS,0.0,0.0,-0.0
45,H2,0.0,0.0,-0.0
46,Li-Ion,0.0,0.0,-0.0
46,CAES,0.0,0.0,2147.61152524591
46,PHS,0.0,0.0,-0.0
46,H2,0.0,0.0,-0.0
47,Li-Ion,0.0,0.0,-0.0
47,CAES,0.0,0.0,2147.61152524591
47,PHS,0.0,0.0,-0.0
47,H2,0.0,0.0,-0.0
48,Li-Ion,0.0,0.0,-0.0
48,CAES,0.0,0.0,2147.61152524591
48,PHS,0.0,0.0,-0.0
48,H2,0.0,0.0,-0.0
49,Li-Ion,0.0,0.0,-0.0
49,CAES,0.0,0.0,2147.61152524591
49,PHS,0.0,0.0,-0.0
49,H2,0.0,0.0,-0.0
50,Li-Ion,0.0,0.0,-0.0
50,CAES,0.0,0.0,2147.61152524591
50,PHS,0.0,0.0,-0.0
50,H2,0.0,0.0,-0.0
51,Li-Ion,0.0,0.0,-0.0
51,CAES,0.0,0.0,2147.61152524591
51,PHS,0.0,0.0,-0.0
51,H2,0.0,0.0,-0.0
52,Li-Ion,0.0,0.0,-0.0
52,CAES,0.0,0.0,2147.61152524591
52,PHS,0.0,0.0,-0.0
52,H2,0.0,0.0,-0.0
53,Li-Ion,0.0,0.0,-0.0
53,CAES,0.0,0.0,2147.61152524591
53,PHS,0.0,0.0,-0.0
53,H2,0.0,0.0,-0.0
54,Li-Ion,0.0,0.0,-0.0
54,CAES,0.0,0.0,2147.61152524591
54,PHS,0.0,0.0,-0.0
54,H2,0.0,0.0,-0.0
55,Li-Ion,0.0,0.0,-0.0
55,CAES,0.0,0.0,2147.61152524591
55,PHS,0.0,0.0,-0.0
55,H2,0.0,0.0,-0.0
56,Li-Ion,0.0,0.0,-0.0
56,CAES,0.0,0.0,2147.61152524591
56,PHS,0.0,0.0,-0.0
56,H2,0.0,0.0,-0.0
57,Li-Ion,0.0,0.0,-0.0
57,CAES,0.0,0.0,2147.61152524591
57,PHS,0.0,0.0,-0.0
57,H2,0.0,0.0,-0.0
58,Li-Ion,299.9999989999924,0.0,276.58633279682516
58,CAES,0.0,0.0,2147.61152524591
58,PHS,0.0,0.0,-0.0
58,H2,0.0,0.0,-0.0
59,Li-Ion,299.9999989999924,0.0,553.1726655936503
59,CAES,0.0,0.0,2147.61152524591
59,PHS,0.0,0.0,-0.0
59,H2,0.0,0.0,-0.0
60,Li-Ion,0.0,0.0,553.1726655936503
60,CAES,299.9999989999924,0.0,2424.197858042735
60,PHS,0.0,0.0,-0.0
60,H2,0.0,0.0,-0.0
61,Li-Ion,0.0,0.0,553.1726655936503
61,CAES,299.9999989999924,0.0,2700.78419083956
61,PHS,0.0,0.0,-0.0
61,H2,0.0,0.0,-0.0
62,Li-Ion,0.0,0.0,553.1726655936503
62,CAES,299.9999989999924,0.0,2977.370523636412
62,PHS,0.0,0.0,-0.0
62,H2,0.0,0.0,-0.0
63,Li-Ion,299.9999989999924,0.0,829.7589983904754
63,CAES,0.0,0.0,2977.370523636412
63,PHS,0.0,0.0,-0.0
63,H2,0.0,0.0,-0.0
64,Li-Ion,0.0,0.0,829.7589983904754
