Metric,Technology,Run,Optimal Value,Unit
Total cost,,1,64793556375577.625,$US
Capacity,Thermal,1,2407.0,MW
Capacity,Solar PV,1,48.905962962435886,MW
Capacity,Wind,1,3754.3982215071283,MW
Capacity,All,1,6210.304184469564,MW
Charge power capacity,Li-Ion,1,299.9999989999924,MW
Charge power capacity,CAES,1,299.9999989999924,MW
Charge power capacity,PHS,1,0.0,MW
Charge power capacity,H2,1,0.0,MW
Charge power capacity,All,1,599.9999979999848,MW
Discharge power capacity,Li-Ion,1,299.9999989999924,MW
Discharge power capacity,CAES,1,299.9999989999924,MW
Discharge power capacity,PHS,1,-0.0,MW
Discharge power capacity,H2,1,-0.0,MW
Discharge power capacity,All,1,599.9999979999848,MW
Average power capacity,Li-Ion,1,299.9999989999924,MW
Average power capacity,CAES,1,299.9999989999924,MW
Average power capacity,PHS,1,0.0,MW
Average power capacity,H2,1,0.0,MW
Average power capacity,All,1,599.9999979999848,MW
Energy capacity,Li-Ion,1,1952.3741138599423,MWh
Energy capacity,CAES,1,3253.956856433237,MWh
Energy capacity,PHS,1,0.0,MWh
Energy capacity,H2,1,0.0,MWh
Energy capacity,All,1,5206.330970293179,MWh
Duration,Li-Ion,1,6.0,h
Duration,CAES,1,10.0,h
Duration,PHS,1,0.0,h
Duration,H2,1,0.0,h
Total generation,Thermal,1,18910.19999990252,MWh
Total generation,Solar PV,1,1434.7043513467597,MWh
Total generation,Wind,1,214364.79296533787,MWh
Total generation,Other renewables,1,34230.0,MWh
Total generation,Hydro,1,74088.99999999999,MWh
Total generation,Nuclear,1,0.0,MWh
Total generation,Li-Ion,1,1019.9999965999741,MWh
Total generation,CAES,1,2294.999992349966,MWh
Total generation,PHS,1,0.0,MWh
Total generation,H2,1,0.0,MWh
Total generation,All,1,346343.69730553706,MWh
Total Imports/Exports,Imports,1,35175.302681462825,MWh
Total Imports/Exports,Exports,1,0.0,MWh
Storage energy discharging,Li-Ion,1,1019.9999965999741,MWh
Storage energy discharging,CAES,1,2294.999992349966,MWh
Storage energy discharging,PHS,1,0.0,MWh
Storage energy discharging,H2,1,0.0,MWh
Storage energy discharging,All,1,3314.99998894994,MWh
Total demand,demand,1,377619.0,MWh
Storage energy charging,Li-Ion,1,1199.9999959999695,MWh
Storage energy charging,CAES,1,2699.999990999931,MWh
Storage energy charging,PHS,1,0.0,MWh
Storage energy charging,H2,1,0.0,MWh
Storage energy charging,All,1,3899.9999869999006,MWh
CAPEX,Solar PV,1,395163834236.03064,$US
CAPEX,Wind,1,64361405898429.055,$US
CAPEX,Thermal,1,0.0,$US
CAPEX,All,1,64756569732665.086,$US
Power-CAPEX,Li-Ion,1,470796606.1056636,$US
Power-CAPEX,CAES,1,2332030051.0570226,$US
Power-CAPEX,PHS,1,0.0,$US
Power-CAPEX,H2,1,0.0,$US
Power-CAPEX,All,1,2802826657.1626863,$US
Energy-CAPEX,Li-Ion,1,0.0,$US
Energy-CAPEX,CAES,1,0.0,$US
Energy-CAPEX,PHS,1,0.0,$US
Energy-CAPEX,H2,1,0.0,$US
Energy-CAPEX,All,1,0.0,$US
Total-CAPEX,Li-Ion,1,470796606.1056636,$US
Total-CAPEX,CAES,1,2332030051.0570226,$US
Total-CAPEX,PHS,1,0.0,$US
Total-CAPEX,H2,1,0.0,$US
Total-CAPEX,All,1,2802826657.1626863,$US
FOM,Thermal,1,0.0,$US
FOM,Solar PV,1,342341740.7370512,$US
FOM,Wind,1,33789583993.56415,$US
FOM,Li-Ion,1,0.0,$US
FOM,CAES,1,0.0,$US
FOM,PHS,1,0.0,$US
FOM,H2,1,0.0,$US
FOM,All,1,34131925734.301205,$US
VOM,Thermal,1,0.0,$US
VOM,Li-Ion,1,0.0,$US
VOM,CAES,1,0.0,$US
VOM,PHS,1,0.0,$US
VOM,H2,1,0.0,$US
VOM,All,1,0.0,$US
Fuel-Cost,Thermal,1,37820399.99980504,$US
OPEX,Thermal,1,0.0,$US
OPEX,Solar PV,1,342341740.7370512,$US
OPEX,Wind,1,33789583993.56415,$US
OPEX,Li-Ion,1,0.0,$US
OPEX,CAES,1,0.0,$US
OPEX,PHS,1,0.0,$US
OPEX,H2,1,0.0,$US
OPEX,All,1,34131925734.301205,$US
Cost,Imports Cost,1,14070121.07258513,$US
Revenue,Exports Revenue,1,0.0,$US
Equivalent number of cycles,Li-Ion,1,0.5224408525799302,-
Equivalent number of cycles,CAES,1,0.7052951509829133,-
Equivalent number of cycles,PHS,1,0.0,-
Equivalent number of cycles,H2,1,0.0,-
Total VRE curtailment,Solar PV,1,0.0,MWh
Total VRE curtailment,Wind,1,0.0,MWh
Total VRE curtailment,All,1,0.0,MWh
VRE curtailment percentage,All,1,0.0,%
