Scenario,Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),All Thermal Generation (MW),Hydro Generation (MW),Nuclear Generation (MW),Other Renewables Generation (MW),Imports (MW),Storage Charge/Discharge (MW),Exports (MW),Load (MW),Net Load (MW)
Data,1,0.0,0.0,818.1768958108564,0.0,1695.2031041891437,456.22,0.0,540.4,0,0,0,3510,1695.2031041891437
Data,2,0.0,0.0,1090.995632840648,0.0,1578.404367159352,467.4,0.0,537.2,0,0,0,3674,1578.4043671593518
Data,3,0.0,0.0,1356.168951082098,0.0,1423.081048917902,476.35,0.0,540.4,0,0,0,3796,1423.081048917902
Data,4,0.0,0.0,1439.7753985305415,0.0,1358.6246014694586,590.4,0.0,537.2,0,0,0,3926,1358.6246014694584
Data,5,0.0,0.0,1636.1307075187403,0.0,1178.35929248126,646.31,0.0,537.2,0,0,0,3998,1178.3592924812597
Data,6,0.0,0.0,1812.1816427379947,0.0,987.9083572620054,621.71,0.0,537.2,0,0,0,3959,987.9083572620052
Data,7,62.58292763657455,0.0,2231.9395179511725,0.0,881.5478544122525,615.0,0.0,235.9297,0,0,0,4027,881.5478544122531
Data,8,438.0020359621189,0.0,2363.5736680803107,0.0,517.4442959575708,527.78,0.0,35.2,0,0,0,3882,517.4442959575704
Data,9,927.0799004550486,0.0,2478.7431074689516,0.0,206.01699207599995,415.96,0.0,35.2,0,0,0,4063,206.01699207599984
Data,10,1349.7565726081275,0.0,1825.404731719615,0.0,620.4386956722578,369.0,0.0,38.4,0,0,0,4203,620.4386956722575
Data,11,1630.712858274538,0.0,1877.419241552896,0.0,127.41790017256608,360.05,0.0,38.4,0,0,0,4034,127.41790017256588
Data,12,1786.5032886677996,0.0,1588.010451531845,0.0,316.89625980035566,349.99,0.0,41.6,0,0,0,4083,316.8962598003553
Data,13,1823.535225789985,0.0,1577.234749549563,0.0,32.94002466045208,337.69,0.0,41.6,0,0,0,3813,32.940024660452046
Data,14,1702.2137877180794,0.0,1415.7822098938113,0.0,406.9140023881089,337.69,0.0,38.4,0,0,0,3901,406.9140023881093
Data,15,1501.7287382981126,0.0,1649.4262216529314,0.0,370.21504004895587,352.23,0.0,38.4,0,0,0,3912,370.215040048956
Data,16,1292.2995345732115,0.0,1915.9559365214154,0.0,252.95452890537308,399.19,0.0,41.6,0,0,0,3902,252.95452890537305
Data,17,844.0718719057431,0.0,2097.9592454102667,0.0,519.68888268399,490.88,0.0,38.4,0,0,0,3991,519.6888826839902
Data,18,363.9381617177482,0.0,1861.3892578517134,0.0,1176.5525804305385,640.72,0.0,38.4,0,0,0,4081,1176.5525804305382
Data,19,51.07582853081073,0.0,1846.6767151877984,0.0,1448.5774562813908,693.27,0.0,189.4,0,0,0,4229,1448.5774562813904
Data,20,0.0,0.0,1960.7957828416297,0.0,1361.1242171583704,638.48,0.0,192.6,0,0,0,4153,1361.1242171583704
Data,21,0.0,0.0,2112.1358154927243,0.0,1173.6141845072757,537.85,0.0,189.4,0,0,0,4013,1173.6141845072757
Data,22,0.0,0.0,2168.997828567051,0.0,1005.7321714329493,471.87,0.0,189.4,0,0,0,3836,1005.7321714329491
Data,23,0.0,0.0,2303.7536953718463,0.0,780.1663046281535,441.68,0.0,189.4,0,0,0,3715,780.1663046281536
Data,24,0.0,0.0,1992.4541777990203,0.0,821.6858222009802,428.26,0.0,543.6,0,0,0,3786,821.6858222009797
Data,25,0.0,0.0,1913.1083370357119,0.0,826.0216629642881,422.67,0.0,537.2,0,0,0,3699,826.021662964288
Data,26,0.0,0.0,1950.4687026322924,0.0,940.0012973677078,438.33,0.0,537.2,0,0,0,3866,940.0012973677076
Data,27,0.0,0.0,1940.6226381840675,0.0,999.1773618159326,492.0,0.0,537.2,0,0,0,3969,999.1773618159325
Data,28,0.0,0.0,2020.9649861190437,0.0,860.9850138809562,630.65,0.0,540.4,0,0,0,4053,860.9850138809563
Data,29,0.0,0.0,1947.2506764625082,0.0,933.699323537492,679.85,0.0,537.2,0,0,0,4098,933.6993235374918
Data,30,0.0,0.0,2182.6429826710714,0.0,606.9070173289288,655.25,0.0,537.2,0,0,0,3982,606.9070173289285
Data,31,71.50092944354151,0.0,2189.4148213552726,0.0,881.434249201186,532.25,0.0,189.4,0,0,0,3864,881.4342492011862
Data,32,515.9103274077335,0.0,2402.8692370996955,0.0,293.63043549257145,448.39,0.0,35.2,0,0,0,3696,293.63043549257117
Data,33,557.4420657832857,584.166775500355,2707.7779342167146,0.0,0.0,355.58,0.0,35.2,0,0,0,3656,-584.1667755003552
Data,34,764.0220612079456,894.7785798838431,2513.3579387920545,0.0,0.0,333.22,0.0,38.4,0,0,0,3649,-894.7785798838432
Data,35,291.8766793745931,1675.941877702889,2961.063320625407,0.0,0.0,329.86,0.0,35.2,0,0,0,3618,-1675.941877702889
Data,36,257.6761234192122,1832.7453441305902,2908.9338765807875,0.0,0.0,349.99,0.0,38.4,0,0,0,3555,-1832.74534413059
Data,37,2127.4534046719878,0.0,888.5965953280124,1353.4345559118728,0.0,328.75,0.0,35.2,0,0,0,3380,-1353.434555911873
Data,38,2114.6648331658093,0.0,803.1651668341906,1533.3841703418643,0.0,336.57,0.0,41.6,0,0,0,3296,-1533.3841703418643
Data,39,859.3218703751731,1091.8898504928547,1908.828129624827,0.0,0.0,335.45,0.0,38.4,0,0,0,3142,-1091.8898504928547
Data,40,1644.7567496831632,0.0,1131.3232503168367,877.9764860391524,0.0,345.52,0.0,38.4,0,0,0,3160,-877.9764860391523
Data,41,727.9278265338166,397.1003310383371,2137.3921734661835,0.0,0.0,417.08,0.0,41.6,0,0,0,3324,-397.1003310383373
Data,42,510.78443780607506,0.0,2107.667323732555,0.0,414.27823846137017,471.87,0.0,38.4,0,0,0,3543,414.27823846137017
Data,43,70.24560954109454,0.0,1891.8381209164354,0.0,1137.7762695424703,506.54,0.0,192.6,0,0,0,3799,1137.7762695424701
Data,44,0.0,0.0,1748.7050441718932,0.0,1342.2449558281066,507.65,0.0,189.4,0,0,0,3788,1342.2449558281069
Data,45,0.0,0.0,1764.4245692408222,0.0,1221.0654307591776,474.11,0.0,189.4,0,0,0,3649,1221.0654307591778
Data,46,0.0,0.0,1852.030464669555,0.0,1049.219535330445,427.15,0.0,192.6,0,0,0,3521,1049.219535330445
Data,47,0.0,0.0,1940.6144083674983,0.0,955.2155916325016,385.77,0.0,189.4,0,0,0,3471,955.2155916325017
Data,48,0.0,0.0,1918.2595111397436,0.0,1077.7904888602566,372.35,0.0,192.6,0,0,0,3561,1077.7904888602563
Data,49,0.0,0.0,2249.6485135492326,0.0,719.3214864507678,376.83,0.0,186.2,0,0,0,3532,719.3214864507675
Data,50,0.0,0.0,2061.2440135979195,0.0,984.4159864020806,408.14,0.0,186.2,0,0,0,3640,984.4159864020805
Data,51,0.0,0.0,2285.0037372931984,0.0,784.2462627068016,446.15,0.0,192.6,0,0,0,3708,784.2462627068016
Data,52,0.0,0.0,2152.99102606463,0.0,806.6689739353695,512.13,0.0,358.21,0,0,0,3830,806.6689739353699
Data,53,0.0,0.0,2175.23071453139,0.0,575.86928546861,553.5,0.0,540.4,0,0,0,3845,575.8692854686102
Data,54,0.0,0.0,2499.1773461984085,0.0,106.4826538015916,555.74,0.0,543.6,0,0,0,3705,106.48265380159148
Data,55,74.06387424437071,0.0,2039.138505202404,0.0,339.97762055322505,505.42,0.0,540.4,0,0,0,3499,339.9776205532252
Data,56,515.9103274077335,0.0,2059.783500585762,0.0,223.65617200650468,409.25,0.0,38.4,0,0,0,3247,223.65617200650476
Data,57,821.4164440005145,321.4738696835409,1993.5835559994855,0.0,0.0,344.4,0.0,41.6,0,0,0,3201,-321.4738696835409
