Scenario,Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),All Thermal Generation (MW),Hydro Generation (MW),Nuclear Generation (MW),Other Renewables Generation (MW),Imports (MW),Storage Charge/Discharge (MW),Exports (MW),Load (MW),Net Load (MW)
Data,1,0.0,0.0,206.01419739139203,0.0,2307.365802608608,456.22,0.0,540.4,0,0,0.0,3510,2307.3658026086077
Data,2,0.0,0.0,243.93691846727967,0.0,2407.0,467.4,0.0,537.2,0,-18.463081532720416,0.0,3674,2425.4630815327205
Data,3,0.0,0.0,617.8559270068266,0.0,2161.3940729931733,476.35,0.0,540.4,0,0,0.0,3796,2161.3940729931733
Data,4,0.0,0.0,326.8950422446993,0.0,2407.0,590.4,0.0,537.2,0,-64.50495775530077,0.0,3926,2471.504957755301
Data,5,0.0,0.0,380.897660629817,0.0,2407.0,646.31,0.0,537.2,0,-26.592339370183268,0.0,3998,2433.5923393701833
Data,6,0.0,0.0,576.4160903987135,0.0,2223.6739096012866,621.71,0.0,537.2,0,0,0.0,3959,2223.673909601286
Data,7,-0.0,0.0,824.4804560584103,0.0,2351.5898439415896,615.0,0.0,235.9297,0,0,0.0,4027,2351.5898439415896
Data,8,-0.0,0.0,1051.0643021342225,0.0,2267.955697865778,527.78,0.0,35.2,0,0,0.0,3882,2267.9556978657774
Data,9,-0.0,0.0,1626.1331350827998,0.0,1985.7068649172006,415.96,0.0,35.2,0,0,0.0,4063,1985.7068649172002
Data,10,-0.0,0.0,588.0052154380708,0.0,2407.0,369.0,0.0,38.4,0,-800.5947845619296,0.0,4203,3207.5947845619294
Data,11,-0.0,0.0,997.9551189952781,0.0,2407.0,360.05,0.0,38.4,0,-230.59488100472163,0.0,4034,2637.594881004722
Data,12,-0.0,0.0,225.68419692354215,0.0,2407.0,349.99,0.0,41.6,0,-1058.7258030764579,0.0,4083,3465.725803076458
Data,13,-0.0,0.0,234.51300048416374,0.0,2407.0,337.69,0.0,41.6,0,-792.1969995158363,0.0,3813,3199.196999515836
Data,14,-0.0,0.0,143.95171309168958,0.0,2407.0,337.69,0.0,38.4,0,-973.9582869083102,0.0,3901,3380.9582869083106
Data,15,-0.0,0.0,385.3752038327138,0.0,2407.0,352.23,0.0,38.4,0,-728.994796167286,0.0,3912,3135.994796167286
Data,16,-0.0,0.0,991.1943409396254,0.0,2407.0,399.19,0.0,41.6,0,-63.01565906037462,0.0,3902,2470.0156590603747
Data,17,-0.0,0.0,1109.805352931044,0.0,2351.914647068956,490.88,0.0,38.4,0,0,0.0,3991,2351.914647068956
Data,18,-0.0,0.0,666.3308411870497,0.0,2407.0,640.72,0.0,38.4,0,-328.5491588129504,0.0,4081,2735.5491588129503
