Metric,Technology,Run,Optimal Value,Unit
Total cost,,1,111629945055645.88,$US
Capacity,Thermal,1,2407.0,MW
Capacity,Solar PV,1,0.0,MW
Capacity,Wind,1,5899.318741055693,MW
Capacity,All,1,8306.318741055693,MW
Charge power capacity,Li-Ion,1,10000.0,MW
Charge power capacity,CAES,1,10000.0,MW
Charge power capacity,PHS,1,10000.0,MW
Charge power capacity,H2,1,20000.0,MW
Charge power capacity,All,1,50000.0,MW
Discharge power capacity,Li-Ion,1,10000.0,MW
Discharge power capacity,CAES,1,10000.0,MW
Discharge power capacity,PHS,1,10000.0,MW
Discharge power capacity,H2,1,20000.0,MW
Discharge power capacity,All,1,50000.0,MW
Average power capacity,Li-Ion,1,10000.0,MW
Average power capacity,CAES,1,10000.0,MW
Average power capacity,PHS,1,10000.0,MW
Average power capacity,H2,1,20000.0,MW
Average power capacity,All,1,50000.0,MW
Energy capacity,Li-Ion,1,65079.13734559686,MWh
Energy capacity,CAES,1,108465.22890932809,MWh
Energy capacity,PHS,1,260316.54938238743,MWh
Energy capacity,H2,1,260316.54938238743,MWh
Energy capacity,All,1,694177.4650196998,MWh
Duration,Li-Ion,1,6.000000000000001,h
Duration,CAES,1,10.0,h
Duration,PHS,1,24.000000000000004,h
Duration,H2,1,12.000000000000002,h
Total generation,Thermal,1,3254551.917029182,MWh
Total generation,Solar PV,1,0.0,MWh
Total generation,Wind,1,20860020.940962285,MWh
Total generation,Other renewables,1,2886483.1523,MWh
Total generation,Hydro,1,5544463.16,MWh
Total generation,Nuclear,1,0.0,MWh
Total generation,Li-Ion,1,468930.0854160015,MWh
Total generation,CAES,1,699222.5397612478,MWh
Total generation,PHS,1,454017.54421254125,MWh
Total generation,H2,1,709352.4622618377,MWh
Total generation,All,1,34877041.80194309,MWh
Total Imports/Exports,Imports,1,0.0,MWh
Total Imports/Exports,Exports,1,0.0,MWh
Storage energy discharging,Li-Ion,1,468930.0854160015,MWh
Storage energy discharging,CAES,1,699222.5397612478,MWh
Storage energy discharging,PHS,1,454017.54421254125,MWh
Storage energy discharging,H2,1,709352.4622618377,MWh
Storage energy discharging,All,1,2331522.6316516283,MWh
Total demand,demand,1,32134074.0,MWh
Storage energy charging,Li-Ion,1,551682.45343059,MWh
Storage energy charging,CAES,1,822614.752660291,MWh
Storage energy charging,PHS,1,534138.2873088721,MWh
Storage energy charging,H2,1,834532.3085433403,MWh
Storage energy charging,All,1,2742967.8019430935,MWh
CAPEX,Solar PV,1,0.0,$US
CAPEX,Wind,1,110762563511481.72,$US
CAPEX,Thermal,1,0.0,$US
CAPEX,All,1,110762563511481.72,$US
Power-CAPEX,Li-Ion,1,16990726633.78602,$US
Power-CAPEX,CAES,1,86227451756.88896,$US
Power-CAPEX,PHS,1,455867043200.12445,$US
Power-CAPEX,H2,1,248693350069.79044,$US
Power-CAPEX,All,1,807778571660.5898,$US
Energy-CAPEX,Li-Ion,1,0.0,$US
Energy-CAPEX,CAES,1,0.0,$US
Energy-CAPEX,PHS,1,0.0,$US
Energy-CAPEX,H2,1,0.0,$US
Energy-CAPEX,All,1,0.0,$US
Total-CAPEX,Li-Ion,1,16990726633.78602,$US
Total-CAPEX,CAES,1,86227451756.88896,$US
Total-CAPEX,PHS,1,455867043200.12445,$US
Total-CAPEX,H2,1,248693350069.79044,$US
Total-CAPEX,All,1,807778571660.5898,$US
FOM,Thermal,1,0.0,$US
FOM,Solar PV,1,0.0,$US
FOM,Wind,1,53093868669.501236,$US
FOM,Li-Ion,1,0.0,$US
FOM,CAES,1,0.0,$US
FOM,PHS,1,0.0,$US
FOM,H2,1,0.0,$US
FOM,All,1,53093868669.501236,$US
VOM,Thermal,1,0.0,$US
VOM,Li-Ion,1,0.0,$US
VOM,CAES,1,0.0,$US
VOM,PHS,1,0.0,$US
VOM,H2,1,0.0,$US
VOM,All,1,0.0,$US
Fuel-Cost,Thermal,1,6509103834.058364,$US
OPEX,Thermal,1,0.0,$US
OPEX,Solar PV,1,0.0,$US
OPEX,Wind,1,53093868669.501236,$US
OPEX,Li-Ion,1,0.0,$US
OPEX,CAES,1,0.0,$US
OPEX,PHS,1,0.0,$US
OPEX,H2,1,0.0,$US
OPEX,All,1,53093868669.501236,$US
Cost,Imports Cost,1,0.0,$US
Revenue,Exports Revenue,1,0.0,$US
Equivalent number of cycles,Li-Ion,1,7.205536283091628,-
Equivalent number of cycles,CAES,1,6.446513290870068,-
Equivalent number of cycles,PHS,1,1.7440978888576928,-
Equivalent number of cycles,H2,1,2.7249610673804945,-
Total VRE curtailment,Solar PV,1,0.0,MWh
Total VRE curtailment,Wind,1,0.0,MWh
Total VRE curtailment,All,1,0.0,MWh
VRE curtailment percentage,All,1,0.0,%
